===== 12-2025 =====
Date	JNL	CPT	Piece	Lib	D	C
03/12/2025	BQ			CB33MC DONALD'S 02/12/25	23,15	
04/12/2025	BQ			VIR SEPA KORNGOLD CAROLE | LIBELLE:Livraison Paris | REF.CLIENT:ZZ1JIHD295NQHAIFO		144,00
05/12/2025	BQ			CB33DROUOT ENCHE 04/12/25	35,00	
05/12/2025	BQ			CB33BOULANGERIE 04/12/25	20,70	
09/12/2025	BQ			REM CHQ 00002CH 1586252 0000000		246,00
08/12/2025	BQ			CB33COMO BONNEUI 05/12/25	85,58	
08/12/2025	BQ			CB33SUSHI WAY 05/12/25	50,70	
09/12/2025	BQ			CB33RELAIS COURB 08/12/25	100,01	
09/12/2025	BQ			CB33TAVA RESTO R 08/12/25	12,00	
09/12/2025	BQ			CB33WEB AMENDE.G 08/12/25	35,00	
10/12/2025	BQ			PRLV SEPA Abeille IARD et Sante | LIBELLE:PRLV ABEILLE ASSURANCES BSL A03249 10122 | 025 | REF.CLIENT:10100087096514NOYNG | ID.CREANCIER:FR63ZZZ205389 | REF.MANDAT: VAAIV4292008	327,75	
10/12/2025	BQ			PRLV SEPA AGIPI-ADIS | LIBELLE:0170115974 | REF.CLIENT:AGIPI Prevoyance 0170115974 | ID.CREANCIER:FR06ZZZ553287 | REF.MANDAT: FR06ZZZ553287-001626830-0001	75,98	
11/12/2025	BQ			CB33AZ POULET 10/12/25	22,00	
12/12/2025	BQ			CB33AZ POULET 11/12/25	8,50	
15/12/2025	BQ			CB33SC-KYDAM 13/12/25	33,40	
15/12/2025	BQ			VIR SEPA TREASURE HUNTER | LIBELLE:FACTURE 11 | REF.CLIENT:Facture 11		384,00
15/12/2025	BQ			VIR INST JDF SARL | REF.CLIENT:BSL Transport facr du15 Dec		1140,00
15/12/2025	BQ			VIR INST GALERIE JACQUES LAFON | REF.CLIENT:032025349314760870000001		540,00
15/12/2025	BQ			VIR INST EURL CM ANTIQUITES | LIBELLE:transport | REF.CLIENT:facture 31		240,00
16/12/2025	BQ			VIR SEPA BRULE PARIS | LIBELLE:BSL - Paris B - Facture 22 | REF.CLIENT:ZZ1JKZRPX1X60WNRC		840,00
16/12/2025	BQ			VIR SEPA M MOLLET HAROLD | LIBELLE:Facture n34 | REF.CLIENT:ZZ1JL0AQK5ROGHRD6		60,00
